Sample	HIT	NOHIT	LOW	AMBIGUOUS
Morrow10-HIRS-E-SP-4A_S10	30567	171	0	2
Morrow11-HIRS-E-SP-4B_S11	30038	193	0	3
Morrow12-HIRS-E-SP-4C_S12	31357	127	0	1
Morrow13-HIRS-E-SP-5A_S13	30706	204	0	0
Morrow14-HIRS-E-SP-5B_S14	29224	163	0	15
Morrow15-HIRS-E-SP-5C_S15	31322	199	0	2
Morrow16-HIRS-N2-SP-3a_S16	30709	183	0	57
Morrow17-HIRS-N2-SP-3b_S17	25389	142	0	1
Morrow18-HIRS-N2-SP-4a_S18	27841	171	0	2
Morrow19-HIRS-N2-SP-4b_S19	27447	172	0	0
Morrow1-HIRS-E-SP-1A_S1	33463	168	0	10
Morrow20-HIRS-N2-SP-5a_S20	30282	168	0	2
Morrow21-HIRS-N2-SP-5b_S21	32599	202	0	19
Morrow22-HIRS-N2-SP-6a_S22	31912	186	0	5
Morrow23-HIRS-N2-SP-6b_S23	30236	233	0	0
Morrow25-HIRS-N2-SP-7b_S25	28128	168	0	26
Morrow26-HIRS-N2-SP-8a_S26	26779	149	0	9
Morrow27-HIRS-N2-SP-8b_S27	28956	240	0	0
Morrow28-HIRS-N2-SP-9a_S28	30683	176	0	22
Morrow29-HIRS-N2-SP-9b_S29	31160	128	0	140
Morrow2-HIRS-E-SP-2A_S2	28699	158	0	25
Morrow30-HIRS-N2-SP-12a_S30	29796	303	0	113
Morrow31-HIRS-N2-SP-12b_S31	32625	191	0	0
Morrow32-HIRS-N2-SP-14a_S32	30945	194	0	31
Morrow33-HIRS-N2-SP-14b_S33	26638	175	0	0
Morrow34-HIRS-N2-SP-15a_S34	27258	191	0	122
Morrow35-HIRS-N2-SP-15b_S35	30249	260	0	0
Morrow36-HIRS-N2-SP-16a_S36	33001	256	0	0
Morrow37-HIRS-N2-SP-16b_S37	30830	190	0	0
Morrow38-HIRS-N2-SP-18a_S38	27387	341	0	25
Morrow39-HIRS-N2-SP-18b_S39	30216	188	0	0
Morrow3-HIRS-E-SP-2B_S3	32384	173	0	3
Morrow40-HIRS-N2-SP-19a_S40	33173	238	0	0
Morrow41-HIRS-N2-SP-19b_S41	29153	178	0	0
Morrow42-HIRS-N2-SP-20a_S42	26652	204	0	45
Morrow43-HIRS-N2-SP-20b_S43	24436	209	0	0
Morrow4-HIRS-E-SP-1B_S4	36529	234	0	17
Morrow5-HIRS-E-SP-2C_S5	2	63	0	67
Morrow6-HIRS-E-SP-1C_S6	98	62	0	6
Morrow7-HIRS-E-SP-3A_S7	0	71	0	5
Morrow8-HIRS-E-SP-3B_S8	10	62	0	1
Morrow9-HIRS-E-SP-3C_S9	79	49	0	0

